sorting	itemID	organismID	materialSampleID	institutionCode	collectionCode	fullCatalogNumber	catalogNumber	rightsHolder	coremaBasisOfRecord	informationWithheld	recordedBy	sex	lifeStage	preparations	disposition	eventDate	country	stateProvince	county	locality	minimumElevationInMeters	decimalLatitude	decimalLongitude	identificationRemarks	identifiedBy	dateIdentified	typeStatus	scientificName	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	preservationType	preparationType	preparationMaterials	preparedBy	preparationDate	geneticAccessionNumber	BOLDProcessID	materialSampleType	concentration	concentrationUnit	associatedMedia
247	urn:uuid:04ba8bbc-c872-4bca-8630-8f80208433ee	urn:uuid:870fad86-84af-5171-ace3-417111e3130a	urn:uuid:04ba8bbc-c872-4bca-8630-8f80208433ee	NHMO	BI	NHMO-BI-74937/1-E	74937	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Wilh. Schlüter, Halle A/S			Blown eggshell	Existing	09.05.1907	Spain	Andalucía	Málaga	Malaga, Spanien					Wilh. Schlüter, Halle A/S	09.05.1907		Alectoris rufa (Linnaeus, 1758)	Galliformes	Phasianidae	Alectoris	rufa		species	(Linnaeus, 1758)		Blown eggshell						Specimen			
248	urn:uuid:30711ae2-11cd-426c-816b-d5334b2b70f7	urn:uuid:870eb4e9-967a-547e-8f72-4585bf816ac1	urn:uuid:30711ae2-11cd-426c-816b-d5334b2b70f7	NHMO	BI	NHMO-BI-27897/1-B	27897	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	Female	Adult	Blood	Existing	05.05.2011	Portugal	Madeira		Faja dos Rolos		32.740806	-16.803944		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	05.05.2011		Regulus madeirensis Harcourt, 1851	Passeriformes	Regulidae	Regulus	madeirensis		species	Harcourt, 1851	Ethanol, 96%	Blood						Tissue			
249	urn:uuid:37cfc996-bdf1-4f80-b1b0-c6f5f951c799	urn:uuid:87945e8a-b72f-5e1f-af00-ffb43a02359a	urn:uuid:37cfc996-bdf1-4f80-b1b0-c6f5f951c799	NHMO	BI	NHMO-BI-39292/1-B	39292	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Female		Blood	Existing	14.02.1997	Norway	Telemark	Skien	Gimsøy		59.183333	9.616667		Lifjeld, Jan T.	14.02.1997		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
250	urn:uuid:79c0779b-d0f7-4669-bf69-7e45e28b4cab	urn:uuid:87579391-cc21-5adc-b3b8-b1adef509a56	urn:uuid:79c0779b-d0f7-4669-bf69-7e45e28b4cab	NHMO	BI	NHMO-BI-27606/1-B	27606	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Johnsen, Arild; Gohli, Jostein; Stensrud, Even"	Male	Adult	Blood	Existing	11.03.2011	Portugal	Madeira		Santana		32.786694	-16.89775		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Johnsen, Arild; Gohli, Jostein; Stensrud, Even"	11.03.2011		Regulus madeirensis Harcourt, 1851	Passeriformes	Regulidae	Regulus	madeirensis		species	Harcourt, 1851	Ethanol, 96%	Blood						Tissue			
251	urn:uuid:9fe2569c-c18f-4f73-ae99-4ff31cb13838	urn:uuid:882b1b9d-2bef-506d-b2c8-7773680c5db9	urn:uuid:9fe2569c-c18f-4f73-ae99-4ff31cb13838	NHMO	BI	NHMO-BI-15820/1-B	15820	Natural History Museum, University of Oslo, Norway	MaterialSample		Sæther, Stein Are	Male		Blood	Existing	21.05.2008	Morocco	Fès-Meknès		Ifrane1, Jabaa forest		33.556519	-5.182878		Sæther, Stein Are	21.05.2008		Sturnus unicolor Temminck, 1820	Passeriformes	Sturnidae	Sturnus	unicolor		species	Temminck, 1820	Lysis buffer, Queen's	Blood						Tissue			
252	urn:uuid:e3f37774-2ed5-45e9-8b5b-c471aef09ecc	urn:uuid:887af8f3-3292-5e33-acde-33be6c630b15	urn:uuid:e3f37774-2ed5-45e9-8b5b-c471aef09ecc	NHMO	BI	NHMO-BI-109088/1-O	109088	Natural History Museum, University of Oslo, Norway	PreservedSpecimen					Skeleton complete	Existing	1859										1859		Ceryle rudis (Linnaeus, 1758)	Coraciiformes	Alcedinidae	Ceryle	rudis		species	(Linnaeus, 1758)		PreservedSpecimen									
253	urn:uuid:9cbf07e1-5a6a-4a09-98c9-82622562ee07	urn:uuid:8870ef41-6515-5739-97b4-68aea77bf88b	urn:uuid:9cbf07e1-5a6a-4a09-98c9-82622562ee07	NHMO	BI	NHMO-BI-18246/1-B | NHMO-BI-18246/2-D | NHMO-BI-18246/3-S	18246	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Male		Blood	Existing	26.03.2009	Spain	Canarias	Santa Cruz de Tenerife	Tenerife, Las Mercedes		28.528778	-16.287833		Lifjeld, Jan T.	26.03.2009		Regulus regulus teneriffae Seebohm, 1883	Passeriformes	Regulidae	Regulus	regulus	teneriffae	subspecies	Seebohm, 1883	Ethanol, 96% |  | Formalin	Blood | gDNA | Sperm sample	 | Omega EZNA kit, plate	 | Anmarkrud, Jarl Andreas	 | 2010-02-23			Tissue | DNA			
254	urn:uuid:4dcdb090-e37f-4ccb-bcb6-d722b0162892	urn:uuid:88c97be8-3d08-5f0e-9b57-6845903777cb	urn:uuid:4dcdb090-e37f-4ccb-bcb6-d722b0162892	NHMO	BI	NHMO-BI-40109/1-B | NHMO-BI-40109/2-D	40109	Natural History Museum, University of Oslo, Norway	MaterialSample		Røer, Jan Erik	Male		Blood	Existing	23.09.2003	Norway	Vest-Agder	Kvinesdal	ØYESTRANDA		58.283333	06.sep		Røer, Jan Erik	23.09.2003		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's | 	Blood | gDNA						Tissue | DNA			
255	urn:uuid:cf9557be-67f0-4bf8-a61e-66302b1f3dbc	urn:uuid:8929687d-5482-502a-9f11-3dd869dc3009	urn:uuid:cf9557be-67f0-4bf8-a61e-66302b1f3dbc	NHMO	BI	NHMO-BI-103421/1-O	103421	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Rowe, Melissah	Female	Adult	Skull (cranium and mandibles/beak)	Existing	21.05.2016	Italy	Apulia		Masseria Montanari III		41.91021	15.853607		Rowe, Melissah	21.05.2016		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Dry	Skull (cranium and mandibles/beak)		Bjerke, Bjørn Aksel	2019			Specimen			
256	urn:uuid:d11d57ad-977d-4f63-b19b-fe53c89b3807	urn:uuid:8a0e5aa1-bf3a-5d38-a1cd-c8542d590300	urn:uuid:d11d57ad-977d-4f63-b19b-fe53c89b3807	NHMO	BI	NHMO-BI-66315/1-P	66315	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Ruppell	Male	Unknown	Study skin	Existing		Egypt								Ruppell			Ceryle rudis (Linnaeus, 1758)	Coraciiformes	Alcedinidae	Ceryle	rudis		species	(Linnaeus, 1758)	Dry	Study skin		Anthonisen, Kristin				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13917789&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13917790&type=jpeg
257	urn:uuid:2c658982-9a46-4025-99e4-5411ad2c4178	urn:uuid:89fd1cea-4f8f-5efd-9dbb-4d9a9a5ff69d	urn:uuid:2c658982-9a46-4025-99e4-5411ad2c4178	NHMO	BI	NHMO-BI-39327/1-B	39327	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Unknown		Blood	Existing	13.01.1997	Norway	Telemark	Skien	Gimsøy		59.183333	9.616667		Lifjeld, Jan T.	13.01.1997		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
258	urn:uuid:2a352f4e-fe68-421d-967f-02a8f0f58a69	urn:uuid:8a79447b-2bd4-595d-938d-ea96f246b740	urn:uuid:2a352f4e-fe68-421d-967f-02a8f0f58a69	NHMO	BI	NHMO-BI-14008/1-B | NHMO-BI-14008/2-D	14008	Natural History Museum, University of Oslo, Norway	MaterialSample		Yosef, Reuven	Unknown		Blood	Existing	07.08.2007	Israel			Eilat		29.55	34.933333		Yosef, Reuven	07.08.2007		Oenanthe monacha (Temminck, 1825)	Passeriformes	Muscicapidae	Oenanthe	monacha		species	(Temminck, 1825)	Ethanol, 96% | 	Blood | gDNA	 | Omega EZNA kit, plate	 | Marthinsen, Gunnhild	 | 2008-07-23		BOI049-08	Tissue | DNA			
259	urn:uuid:20ae6d07-dff0-4d34-8a61-9fe41b139270	urn:uuid:8a971ed2-d3f4-5909-9d12-d654241e7ceb	urn:uuid:20ae6d07-dff0-4d34-8a61-9fe41b139270	NHMO	BI	NHMO-BI-59000/1-P	59000	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Dahl (Captain), H.	Unknown	Unknown	Study skin	Existing		New Zealand								Dahl, Knut			Porphyrio poliocephalus poliocephalus (Latham, 1801)	Gruiformes	Rallidae	Porphyrio	poliocephalus	poliocephalus	subspecies	(Latham, 1801)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903237&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903238&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903239&type=jpeg
260	urn:uuid:fcb36a46-edc5-4274-bfce-5639ac3f881c	urn:uuid:8bc1578d-61d6-59ba-82e0-338d507cceb2	urn:uuid:fcb36a46-edc5-4274-bfce-5639ac3f881c	NHMO	BI	NHMO-BI-62394/1-P	62394	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Blyth	Unknown	Unknown	Mounted	Existing		India								Blyth			Acridotheres tristis (Linnaeus, 1766)	Passeriformes	Sturnidae	Acridotheres	tristis		species	(Linnaeus, 1766)	Dry	Mounted		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14209994&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14209995&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14209997&type=jpeg
261	urn:uuid:bf8c4771-e840-4c55-9657-49856b4d91af	urn:uuid:8bdba258-6726-5e1b-baa6-b7b2fc391b68	urn:uuid:bf8c4771-e840-4c55-9657-49856b4d91af	NHMO	BI	NHMO-BI-68631/1-P	68631	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Dresser 1886	Unknown	Adult	Preserved specimen	Existing		Saint Helena, Ascension and Tristan da Cunha	Saint Helena		St. Helena					Dresser 1886			Phaethon aethereus Linnaeus, 1758	Phaethontiformes	Phaethontidae	Phaethon	aethereus		species	Linnaeus, 1758	Dry	PreservedSpecimen		Jacobsen, Frode				Specimen			
262	urn:uuid:b6a2e210-e2a3-46d5-8166-de2c385ea106	urn:uuid:8c893095-93d1-5f4c-9df6-47626214283f	urn:uuid:b6a2e210-e2a3-46d5-8166-de2c385ea106	NHMO	BI	NHMO-BI-63715/1-P	63715	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Male	Unknown	Study skin	Existing		Reunion			Bourbon, Reunion Islands					Unknown			Amandava amandava (Linnaeus, 1758)	Passeriformes	Estrildidae	Amandava	amandava		species	(Linnaeus, 1758)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14211795&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14211796&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14211797&type=jpeg
263	urn:uuid:b36e3f69-3f37-4b13-973b-bbac30fc87a3	urn:uuid:8c84d845-7564-5754-8473-e3dcd638aba1	urn:uuid:b36e3f69-3f37-4b13-973b-bbac30fc87a3	NHMO	BI	NHMO-BI-44166/1-S	44166	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Gohli, Jostein; Stensrud, Even"	Male	Adult	Sperm sample	Existing	23.02.2011	Spain	Canarias	Santa Cruz de Tenerife	La Gomera, Garajonay		28.116667	-17.25		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Gohli, Jostein; Stensrud, Even"	23.02.2011		Regulus regulus teneriffae Seebohm, 1883	Passeriformes	Regulidae	Regulus	regulus	teneriffae	subspecies	Seebohm, 1883	Formalin, w/PBS	Sperm sample						Tissue			
264	urn:uuid:6a440afe-805d-43ef-8de9-38fd40d1c122	urn:uuid:8ca4b4bf-a88e-549c-b0e0-1a89445158a7	urn:uuid:6a440afe-805d-43ef-8de9-38fd40d1c122	NHMO	BI	NHMO-BI-39819/1-B | NHMO-BI-39819/2-D	39819	Natural History Museum, University of Oslo, Norway	MaterialSample			Unknown	Unknown	Blood	Existing	17.05.2003	Norway	Telemark	Kragerø	Jomfruland fuglestasjon		58.881389	9.610556			17.05.2003		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's | 	Blood | gDNA						Tissue | DNA			
265	urn:uuid:8d1439b7-9936-4394-8ff1-26ae584db489	urn:uuid:8ecd8947-3cf3-5d9c-9bdc-300988b4da78	urn:uuid:8d1439b7-9936-4394-8ff1-26ae584db489	NHMO	BI	NHMO-BI-65114/1-P	65114	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location	Unknown	Unknown	Adult	Preserved specimen	Existing		India								Unknown			Haliaeetus leucoryphus (Pallas, 1771)	Accipitriformes	Accipitridae	Haliaeetus	leucoryphus		species	(Pallas, 1771)	Dry	PreservedSpecimen		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13915061&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13915062&type=jpeg
266	urn:uuid:c8ddf620-2bcb-403d-8082-647ef847c02d	urn:uuid:8f5121ea-d012-5f1c-a7b5-963d4e070dfc	urn:uuid:c8ddf620-2bcb-403d-8082-647ef847c02d	NHMO	BI	NHMO-BI-88155/1-S	88155	Natural History Museum, University of Oslo, Norway	MaterialSample		Rowe, Melissah	Male	Adult	Sperm sample	Existing	22.05.2016	Italy	Apulia		Masseria Montanari		41.910222	15.853611		Rowe, Melissah	22.05.2016		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Formalin, w/PBS	Sperm sample		Rowe, Melissah	22.05.2016			Tissue			
267	urn:uuid:28e01606-4a57-418a-9e7b-4a75ac672e7a	urn:uuid:8f4ef930-0b8f-5815-a0fe-3401156b7b31	urn:uuid:28e01606-4a57-418a-9e7b-4a75ac672e7a	NHMO	BI	NHMO-BI-27610/1-B	27610	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Johnsen, Arild; Gohli, Jostein; Stensrud, Even"	Male	Adult	Blood	Existing	11.03.2011	Portugal	Madeira		Santana		32.786694	-16.89775		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Johnsen, Arild; Gohli, Jostein; Stensrud, Even"	11.03.2011		Regulus madeirensis Harcourt, 1851	Passeriformes	Regulidae	Regulus	madeirensis		species	Harcourt, 1851	Ethanol, 96%	Blood						Tissue			
268	urn:uuid:8b6f2f9b-0667-4525-8920-d824f1f09fb2	urn:uuid:8f5c71c4-f647-5e8a-8618-e0ef5f088805	urn:uuid:8b6f2f9b-0667-4525-8920-d824f1f09fb2	NHMO	BI	NHMO-BI-39330/1-B	39330	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Unknown		Blood	Existing	22.01.1997	Norway	Telemark	Skien	Gimsøy		59.183333	9.616667		Lifjeld, Jan T.	22.01.1997		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
269	urn:uuid:0b55aa69-d4bd-48a4-bc8e-a2d1904e1484	urn:uuid:8f63a3fb-3ed7-5fae-af0c-258a89457133	urn:uuid:0b55aa69-d4bd-48a4-bc8e-a2d1904e1484	NHMO	BI	NHMO-BI-89978/1-P	89978	Natural History Museum, University of Oslo, Norway	PreservedSpecimen			Male?	Adult	Study skin	Existing										Marki, Petter Zahl	23.06.2017		Acridotheres tristis (Linnaeus, 1766)	Passeriformes	Sturnidae	Acridotheres	tristis		species	(Linnaeus, 1766)	Dry	Study skin						Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15162565&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15316901&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15316902&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15316903&type=jpeg
270	urn:uuid:b2c77cf0-2760-4b8f-815e-06b735ffd7fd	urn:uuid:900e239d-560e-52e0-996e-de2fa19e492c	urn:uuid:b2c77cf0-2760-4b8f-815e-06b735ffd7fd	NHMO	BI	NHMO-BI-40105/1-B	40105	Natural History Museum, University of Oslo, Norway	MaterialSample		Røer, Jan Erik	Male		Blood	Existing	19.09.2003	Norway	Vest-Agder	Kvinesdal	ØYESTRANDA		58.283333	06.sep		Røer, Jan Erik	19.09.2003		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
271	urn:uuid:c6d3bff0-ec7f-4500-adb9-50cc134f2ffa	urn:uuid:902a80b1-7be9-53c6-9de3-0cc7fef6401d	urn:uuid:c6d3bff0-ec7f-4500-adb9-50cc134f2ffa	NHMO	BI	NHMO-BI-66317/1-P	66317	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Baun	Female	Unknown	Study skin	Existing	1886-12-20	China			Puching					Baun	1886-12-20		Ceryle rudis (Linnaeus, 1758)	Coraciiformes	Alcedinidae	Ceryle	rudis		species	(Linnaeus, 1758)	Dry	Study skin		Anthonisen, Kristin				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13917793&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13917794&type=jpeg
272	urn:uuid:582d77f9-52ce-49b0-bd0f-0673c1c5ea81	urn:uuid:90421ebe-9061-57cc-8c3a-f05b3af7202d	urn:uuid:582d77f9-52ce-49b0-bd0f-0673c1c5ea81	NHMO	BI	NHMO-BI-27911/1-B | NHMO-BI-27911/2-S	27911	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	Male	Adult	Blood	Existing	06.05.2011	Portugal	Madeira		Santana 2		32.797389	-16.891639		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	06.05.2011		Regulus madeirensis Harcourt, 1851	Passeriformes	Regulidae	Regulus	madeirensis		species	Harcourt, 1851	Ethanol, 96% | Formalin, w/PBS	Blood | Sperm sample						Tissue			
273	urn:uuid:b52db00a-52eb-4a82-9a52-13d8f0700fd4	urn:uuid:90a59ef2-c67d-55f0-9a42-92887816288e	urn:uuid:b52db00a-52eb-4a82-9a52-13d8f0700fd4	NHMO	BI	NHMO-BI-83985/1-T	83985	Natural History Museum, University of Oslo, Norway	MaterialSample		"Lifjeld, Jan T.; Garcia-del-Rey, Eduardo"	Unknown		Tissue	Existing	16.04.2015	Spain	Canarias	Santa Cruz de Tenerife	Tenerife, El Bailadero	680	28.549972	-16.205639		"Lifjeld, Jan T.; Garcia-del-Rey, Eduardo"	16.04.2015		Columba bollii Godman, 1872	Columbiformes	Columbidae	Columba	bollii		species	Godman, 1872	Ethanol, 96%	MaterialSample		"Lifjeld, Jan T.; Garcia-del-Re"	16.04.2015			Tissue			
274	urn:uuid:22104248-fdb8-4f27-a22a-3601db68536a	urn:uuid:9190f5c2-c885-578f-a957-c14689f19165	urn:uuid:22104248-fdb8-4f27-a22a-3601db68536a	NHMO	BI	NHMO-BI-66322/1-P	66322	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Baun	Female	Unknown	Study skin	Existing	1886-12-02	China			Puching					Baun	1886-12-02		Ceryle rudis (Linnaeus, 1758)	Coraciiformes	Alcedinidae	Ceryle	rudis		species	(Linnaeus, 1758)	Dry	Study skin		Anthonisen, Kristin				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13917803&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13917804&type=jpeg
275	urn:uuid:d9ee89fd-17b5-4a60-a35f-0c9fe9f486d0	urn:uuid:91ae4df9-8d27-584f-9701-d7e8e47c7c2a	urn:uuid:d9ee89fd-17b5-4a60-a35f-0c9fe9f486d0	NHMO	BI	NHMO-BI-63363/1-P	63363	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Oddi, Ettore Arrigoni Degli	Male	Unknown	Study skin	Existing	1893-08-18	Italy			Bari					Oddi, Arrigoni Degli	1893-08-18		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14210794&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14210796&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14210797&type=jpeg
276	urn:uuid:576c5084-949a-4bcd-b47c-1c962fec50d4	urn:uuid:93638933-b57e-5618-8144-b971722d6824	urn:uuid:576c5084-949a-4bcd-b47c-1c962fec50d4	NHMO	BI	NHMO-BI-27261/1-B | NHMO-BI-27261/2-S	27261	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Male	Adult	Blood	Existing	12.04.2011	Spain	Canarias	Santa Cruz de Tenerife	La Gomera, Garajonay		28.116667	-17.25		Lifjeld, Jan T.	12.04.2011		Regulus regulus teneriffae Seebohm, 1883	Passeriformes	Regulidae	Regulus	regulus	teneriffae	subspecies	Seebohm, 1883	Ethanol, 96% | Formalin, w/PBS	Blood | Sperm sample						Tissue			
277	urn:uuid:80f8681d-98e2-4350-a72e-a8738bc04923	urn:uuid:940e0e6a-8a90-5d57-a61e-6bd857f4255e	urn:uuid:80f8681d-98e2-4350-a72e-a8738bc04923	NHMO	BI	NHMO-BI-40438/1-B | NHMO-BI-40438/2-D	40438	Natural History Museum, University of Oslo, Norway	MaterialSample		Austevik, Jostein	Female		Blood	Existing	13.09.2003	Norway	Rogaland	Utsira	Utsira		59.3	4.883333		Austevik, Jostein	13.09.2003		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's | 	Blood | gDNA						Tissue | DNA			
278	urn:uuid:7e6d2c80-aeb2-4509-ba46-d2b0a115a6aa	urn:uuid:94bbc5aa-2ccd-5240-a3ae-d754acca5ad5	urn:uuid:7e6d2c80-aeb2-4509-ba46-d2b0a115a6aa	NHMO	BI	NHMO-BI-59003/1-P	59003	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Dahl, Knut	Female	Unknown	Study skin	Existing	1894-08-22	Australia	Northern Territory		Daly River		-13.765	130.704		Dahl, Knut	1894-08-22		Porphyrio poliocephalus poliocephalus (Latham, 1801)	Gruiformes	Rallidae	Porphyrio	poliocephalus	poliocephalus	subspecies	(Latham, 1801)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903246&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903247&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903248&type=jpeg
279	urn:uuid:2fa423b3-46d8-40fd-9ae5-2ca03a1c4c25	urn:uuid:95685bef-2bc3-594e-8b96-a340ec061552	urn:uuid:2fa423b3-46d8-40fd-9ae5-2ca03a1c4c25	NHMO	BI	NHMO-BI-63369/1-P	63369	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Female	Unknown	Study skin	Existing	1883-12	Italy			Firenze					Unknown	1883-12		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14210824&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14210826&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14210828&type=jpeg
280	urn:uuid:129ace96-cb22-4b3f-acd8-2cd05395ee2b	urn:uuid:96988f57-90fd-5bb0-bd83-628dbecd834e	urn:uuid:129ace96-cb22-4b3f-acd8-2cd05395ee2b	NHMO	BI	NHMO-BI-14152/1-B | NHMO-BI-14152/2-D	14152	Natural History Museum, University of Oslo, Norway	MaterialSample		Yosef, Reuven	Unknown		Blood	Existing	13.01.2008	Israel			Eilat		29.55	34.933333		Yosef, Reuven	13.01.2008		Ammomanes deserti (Lichtenstein, MHK, 1823)	Passeriformes	Alaudidae	Ammomanes	deserti		species	(Lichtenstein, MHK, 1823)	Ethanol, 96% | 	Blood | gDNA	 | Mole robot	 | Mole Genetics			BOI085-08	Tissue | DNA			
281	urn:uuid:b6590eaa-774f-49ad-a956-3f86d0ed71e3	urn:uuid:98ba7c82-cbca-50c7-aea0-ee7abb16e481	urn:uuid:b6590eaa-774f-49ad-a956-3f86d0ed71e3	NHMO	BI	NHMO-BI-88181/1-S	88181	Natural History Museum, University of Oslo, Norway	MaterialSample		Rowe, Melissah	Male	Adult	Sperm sample	Existing	25.05.2016	Italy	Apulia		Lago Salso		41.541556	15.890056		Rowe, Melissah	25.05.2016		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Formalin, w/PBS	Sperm sample		Rowe, Melissah	25.05.2016			Tissue			
282	urn:uuid:39009c11-d624-4694-be1c-ead3931d09e1	urn:uuid:98b52d36-731c-5723-a72c-4f3aa7881d06	urn:uuid:39009c11-d624-4694-be1c-ead3931d09e1	NHMO	BI	NHMO-BI-62009/1-P	62009	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Unknown	Unknown	Mounted	Existing		Europe (continent)			C. Europe					Unknown			Acrocephalus paludicola (Vieillot, 1817)	Passeriformes	Acrocephalidae	Acrocephalus	paludicola		species	(Vieillot, 1817)	Dry	Mounted		J.I.J				Specimen			
283	urn:uuid:2c2c3a44-4a7d-4708-9d7a-f583ff1cbfd0	urn:uuid:996a1e6a-a35e-5625-ad36-8107820e9e05	urn:uuid:2c2c3a44-4a7d-4708-9d7a-f583ff1cbfd0	NHMO	BI	NHMO-BI-8840/1-B	8840	Natural History Museum, University of Oslo, Norway	MaterialSample		Nilsen, Øystein Birkeland	Male		Blood	Existing	11.05.2005	Norway	Rogaland	Utsira	Utsira		59.3	4.883333		Nilsen, Øystein Birkeland	11.05.2005		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
