Order_orig.	Familiy_orig.	Orig._comb.		Described_as	Name	Author	Year	Page	Bar code	Type kind	Are we sure it is a published name?	Conserved as	Where	Associated preparation numbers	Labeled as type	Label(s)	Specimens	Males	Females	Larvae	Pupae	Original description checked?	Author(s)	Year	Title	Reference	Editors	Place	Periodicle	Publisher	Volume	Pages	Expedition	Country	Years	Province/Region/State	District/County/Municip.	This is type locality	Order.	Family	Genus	Combination	Author and year	Status	Reference to curr. taxonomy	Reference to publication of lectotype	Date	Remarks	Recorder	Locality	Country	Invalid details	Current combination established by	Record_ID	Search by bar code	Copy
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001866		FALSE	Pinned	Pinned type collection		FALSE	"Kongsberg Munster.", "74 37"(red label), "kongsbergensis Munst. T. Nyholm det."	9	0	0	0	0	FALSE														Buskerud	Kongsberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Kongsberg	Norway			877		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001864		FALSE	Pinned	Pinned type collection		FALSE	"Kongsberg Munster.", "Scheint nov. spec. zu sein 2 behalten", "74 39"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10055 d Z.M.Oslo"	4	0	0	0	0	FALSE														Buskerud	Kongsberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Kongsberg	Norway			876		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001881		FALSE	Pinned	Pinned type collection		TRUE	"Lyngdal,Busk. VIII-22, Munster", "74 41"(red label), "Cyphon Kongsbergensis Type.", "Gk10056 Z.M.Oslo", " "(red label)	2	0	0	0	0	FALSE														Buskerud	Flesberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Lyngdal	Norway			875		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001858		FALSE	Pinned	Pinned type collection		FALSE	"Kongsberg Munster.", "74 36"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10055 a Z.M.Oslo"	5	0	0	0	0	FALSE														Buskerud	Kongsberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Kongsberg	Norway			874		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001857		FALSE	Pinned	Pinned type collection		FALSE	"Kongsberg Munster.", "74 28"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10053 a ZM.Oslo"	1	0	0	0	0	FALSE														Buskerud	Kongsberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Kongsberg	Norway			873		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001870		FALSE	Pinned	Pinned type collection		FALSE	"Mandal,omg. VIII.23, Munster.", "Mandal,omg. VIII.23, Munster.", "Mandal,omg. VIII.23, Munster.", "Mandal,omg. VIII.23, Munster.", "74 22"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10050 b ZM.Oslo"	4	0	0	0	0	FALSE														Vest-Agder	Mandal		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Mandal	Norway			872		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001865		FALSE	Pinned	Pinned type collection		FALSE	"Kongsberg Munster.", " C. kongsbergensis n. sp.", "74 35"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10055 ZM.Oslo"	5	0	0	0	0	FALSE														Buskerud	Kongsberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Kongsberg	Norway			871		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001856		FALSE	Pinned	Pinned type collection		FALSE	"Kongsberg Munster.", "74 30"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10053 c Z.M.Oslo"	1	0	0	0	0	FALSE														Buskerud	Kongsberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Kongsberg	Norway			863		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001863		FALSE	Pinned	Pinned type collection		FALSE	"Kongsberg Munster.", "74 38"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10055 c Z.M.Oslo", "Gk10055 b Z.M.Oslo"	6	0	0	0	0	FALSE														Buskerud	Kongsberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				07.11.2005		Olberg, Stefan	Kongsberg	Norway			862		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001861		FALSE	Pinned	Pinned type collection		FALSE	"Kongsberg Ths Munster.", "n.sp. kongsbergensism.", "74 49"(red label), "Gk10064 ZM.Oslo", " "(red label)	2	0	0	0	0	FALSE														Buskerud	Kongsberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				07.11.2005		Olberg, Stefan	Kongsberg	Norway			861		0
