JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad	
F22892	F	22892		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Homborsund - Gr�nningen		Homborsund - Gr�ningen	38		19.07.1950	19.07.1950	-	?	?	=	1							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F23248	F	23248		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Homborsund - Gr�nningen		Homborsund - Gr�ningen			16.07.1951	16.07.1951	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F22971	F	22971		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Homborsund - Gr�nningen		Homborsund - Gr�ningen			21.07.1950	21.07.1950	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, P.		Dt.: McLaughlin 1973-1994.	
F23748	F	23748		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Homborsund - Gr�nningen		Homborsund - Gr�ningen	21		14.07.1950	14.07.1950	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dyrene i F23748 (Anapagurus cf. chiroacanthus) og F23761 (Pagurus bernhardus og P.cuanensis) var i samme glass f�r matr. ble bestemt av P.McLaughlin og reg. med reg.nr.. Originaletikett i F23748. Pr�ven er bestemt til A. cf. chiroacanthus: Dt.: P.McLaughl	
F23902	F	23902		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Homborsund - Gr�nningen		Homborsund - Gr�ningen	39		19.07.1950	19.07.1950	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F23907	F	23907		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Homborsund - Gr�nningen		Homborsund - Gr�ningen	39		19.07.1950	19.07.1950	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994	
F22990	F	22990		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Ildverket		Ildverket, Tj�me		4	24.07.1953	24.07.1953	-	?	?	=	1	1f							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, P.			
F23887	F	23887		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Kringlene		Kringlene, Vasser 59*5,05'N-10*29,9'E		7	08.08.1969	08.08.1969	-	10	25	=	?								Ethanol		Christiansen, Marit Ellen	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F22900	F	22900		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Lauer		Lauer, Hvaler 59*0,85'N, 11*1.1'E		1	06.08.1969	06.08.1969	-	28	30	=	1								Ethanol		Christiansen, Marit Ellen	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F23865	F	23865		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Lindesnes - Lista		Lindesnes - Lista	36		20.07.1951	20.07.1951	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F23877	F	23877		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Lindesnes - Lista		Lindesnes - Lista	36		20.07.1951	20.07.1951	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F23208	F	23208		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Mefjordb�en, Hvaler		Mefjordboen, Ytre Oslofj.		9	16.09.1953	16.09.1953	-	?	?	=	4	3ff, 1m							Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	McLaughlin, Patsy			
F22994	F	22994		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Mefjordb�en, Hvaler		Mefjordboen, Ytre Oslofjord		8	16.09.1953	16.09.1953	-	?	?	=	2	1f(m/ utrogn), 1m							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, P.			
F22999	F	22999		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Melleskj�r		Melleskj�r, Hvasser		2	27.04.1953	27.04.1953	-	?	?	=	2	2mm							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, P.			
F22945	F	22945		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		M�kkalasset - Torungen		M�kkalasset - Torungen	4		11.07.1950	11.07.1950	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, P.		"""+brachyuran"". Pr�ven inneholder ogs� Pagurus bernhardus. Dt.: McLaughlin 1973-1994."	
F23873	F	23873		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		M�kkalasset - Torungen		M�kkalasset - Torungen	13		13.07.1950	13.07.1950	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F23906	F	23906		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		M�kkalasset - Torungen		M�kkalasset - Torungen	3		11.07.1950	11.07.1950	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994: A. cf. chiroacanthus.	
F23908	F	23908		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		M�kkalasset - Torungen		M�kkalasset - Torungen	15		13.07.1950	13.07.1950	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994	
F23920	F	23920		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		M�kkalasset - Torungen		M�kkalasset - Torungen	4		11.07.1950	11.07.1950	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F22970	F	22970		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		M�lnbukta		M�lnbukt, Agdenes, S.Tr�ndelag			16.07.1970	16.07.1970	-	6	6	=	?								Ethanol		Vik, R.	McLaughlin, P.		"""I r�ttene p� tare fra en stein"". Dt.: McLaughlin 1973-1994: A. cf. chiroacanthus."	
F22998	F	22998		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Neskrakken		Neskrakken, Jel�ya		3	10.07.1952	10.07.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, P.			
F22733	F	22733		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Nevlunghavn		Nevlunghamn	6		01.08.1927	31.08.1927	-	?	?	=	4								Ethanol		L�yning	McLaughlin, Patsy		Pr�ven er delt i F22731 Paguus bernhardus, F22732 Pagurus cuanensis, F22733 Anapagurus chiroacanthus. Originaletikett i F22731.	
F22941	F	22941		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Nevlunghavn		Nevlunghamn	3		01.01.1927	01.01.1927	-	?	?	=	?								Ethanol		L�yning	McLaughlin, P.		Pr�ven inneholder ogs� Pagurus bernhardus. Dt.: McLaughlin 1973-1994.	
